"Time","ChatGPT","Gemini","Claude"
"2021-03-01",0,0,0
"2021-04-01",0,0,0
"2021-05-01",0,0,0
"2021-06-01",0,0,0
"2021-07-01",0,0,0
"2021-08-01",0,0,0
"2021-09-01",0,0,0
"2021-10-01",0,0,0
"2021-11-01",0,0,0
"2021-12-01",0,0,0
"2022-01-01",0,0,0
"2022-02-01",0,0,0
"2022-03-01",0,0,0
"2022-04-01",0,0,0
"2022-05-01",0,0,0
"2022-06-01",0,0,0
"2022-07-01",0,0,0
"2022-08-01",0,0,0
"2022-09-01",0,0,0
"2022-10-01",0,0,0
"2022-11-01",0,0,0
"2022-12-01",0,0,0
"2023-01-01",0,0,0
"2023-02-01",0,0,0
"2023-03-01",0,0,0
"2023-04-01",0,0,0
"2023-05-01",0,1,0
"2023-06-01",8,1,0
"2023-07-01",17,1,0
"2023-08-01",17,1,0
"2023-09-01",21,2,0
"2023-10-01",23,2,0
"2023-11-01",25,2,0
"2023-12-01",22,3,0
"2024-01-01",23,2,0
"2024-02-01",26,4,0
"2024-03-01",27,4,0
"2024-04-01",29,4,0
"2024-05-01",33,4,0
"2024-06-01",30,3,0
"2024-07-01",26,3,1
"2024-08-01",32,3,1
"2024-09-01",42,4,1
"2024-10-01",50,4,1
"2024-11-01",52,5,1
"2024-12-01",51,4,1
"2025-01-01",50,4,1
"2025-02-01",59,5,1
"2025-03-01",65,5,1
"2025-04-01",79,6,1
"2025-05-01",80,7,2
"2025-06-01",81,9,2
"2025-07-01",83,8,2
"2025-08-01",85,9,2
"2025-09-01",95,47,2
"2025-10-01",100,28,2
"2025-11-01",97,27,2
"2025-12-01",84,26,2
"2026-01-01",84,27,3
"2026-02-01",85,26,5
"2026-03-01",90,32,10
